,power
,apparent
1640995961,2
1640995962,2
1640995963,2
1640995964,2
1640995965,2
1640995966,2
1640995967,2
1640995968,2
1640995969,2
1640995970,2
1640995971,2
1640995972,2
1640995973,2
1640995974,2
1640995975,2
1640995976,2
1640995977,2
1640995978,2
1640995979,2
1640995980,2
1640995981,2
1640995982,2
1640995983,2
1640995984,2
1640995985,2
1640995986,2
1640995987,2
1640995988,2
1640995989,2
1640995990,2
1640995991,2
1640995992,2
1640995993,2
1640995994,2
1640995995,2
1640995996,2
1640995997,2
1640995998,2
1640995999,2
1640996000,2
1640996001,2
1640996002,2
1640996003,2
1640996004,2
1640996005,2
1640996006,2
1640996007,2
1640996008,2
1640996009,2
1640996010,2
1640996011,2
1640996012,2
1640996013,2
1640996014,2
1640996015,2
1640996016,2
1640996017,2
1640996018,2
1640996019,2
1640996020,2
1640996021,2
1640996022,2
1640996023,2
1640996024,2
1640996025,2
1640996026,2
1640996027,2
1640996028,2
1640996029,2
1640996030,2
1640996031,2
1640996032,2
1640996033,2
1640996034,2
1640996035,2
1640996036,2
1640996037,2
1640996038,2
1640996039,2
1640996040,2
1640996041,2
1640996042,2
1640996043,2
1640996044,2
1640996045,2
1640996046,2
1640996047,2
1640996048,2
1640996049,2
1640996050,2
1640996051,2
1640996052,2
1640996053,2
1640996054,2
1640996055,2
1640996056,2
1640996057,2
1640996058,2
1640996059,2
1640996060,2
1640996061,2
1640996062,2
1640996063,2
1640996064,2
1640996065,2
1640996066,2
1640996067,2
1640996068,2
1640996069,2
1640996070,2
1640996071,2
1640996072,2
1640996073,2
1640996074,2
1640996075,2
1640996076,2
1640996077,2
1640996078,2
1640996079,2
1640996080,2
1640996081,2
1640996082,2
1640996083,2
1640996084,2
1640996085,2
1640996086,2
1640996087,2
1640996088,2
1640996089,2
1640996090,2
1640996091,2
1640996092,2
1640996093,2
1640996094,2
1640996095,2
1640996096,2
1640996097,2
1640996098,2
1640996099,2
1640996100,2
1640996101,2
1640996102,2
1640996103,2
1640996104,2
1640996105,2
1640996106,2
1640996107,2
1640996108,2
1640996109,2
1640996110,2
1640996111,2
1640996112,2
1640996113,2
1640996114,2
1640996115,2
1640996116,2
1640996117,2
1640996118,2
1640996119,2
1640996120,2
1640996121,2
1640996122,2
1640996123,2
1640996124,2
1640996125,2
1640996126,2
1640996127,2
1640996128,2
1640996129,2
1640996130,2
1640996131,2
1640996132,2
1640996133,2
1640996134,2
1640996135,2
1640996136,2
1640996137,2
1640996138,2
1640996139,2
1640996140,2
1640996141,2
1640996142,2
1640996143,2
1640996144,2
1640996145,2
1640996146,2
1640996147,2
1640996148,2
1640996149,2
1640996150,2
1640996151,2
1640996152,2
1640996153,2
1640996154,2
1640996155,2
1640996156,2
1640996157,2
1640996158,2
1640996159,2
1640996160,2
1640996161,2
1640996162,2
1640996163,2
1640996164,2
1640996165,2
1640996166,2
1640996167,2
1640996168,2
1640996169,2
1640996170,2
1640996171,2
1640996172,2
1640996173,2
1640996174,2
1640996175,2
1640996176,2
1640996177,2
1640996178,2
1640996179,2
1640996180,2
1640996181,2
1640996182,2
1640996183,2
1640996184,2
1640996185,2
1640996186,2
1640996187,2
1640996188,2
1640996189,2
1640996190,2
1640996191,2
1640996192,2
1640996193,2
1640996194,2
1640996195,2
1640996196,2
1640996197,2
1640996198,2
1640996199,2
1640996200,2
1640996201,2
1640996202,2
1640996203,2
1640996204,2
1640996205,2
1640996206,2
1640996207,2
1640996208,2
1640996209,2
1640996210,2
1640996211,2
1640996212,2
1640996213,2
1640996214,2
1640996215,2
1640996216,2
1640996217,2
1640996218,2
1640996219,2
1640996220,2
1640996221,2
1640996222,2
1640996223,2
1640996224,2
1640996225,2
1640996226,2
1640996227,2
1640996228,2
1640996229,2
1640996230,2
1640996231,2
1640996232,2
1640996233,2
1640996234,2
1640996235,2
1640996236,2
1640996237,2
1640996238,2
1640996239,2
1640996240,2
1640996241,2
1640996242,2
1640996243,2
1640996244,2
1640996245,2
1640996246,2
1640996247,2
1640996248,2
1640996249,2
1640996250,2
1640996251,2
1640996252,2
1640996253,2
1640996254,2
1640996255,2
1640996256,2
