,power
,apparent
1640996130,1424
1640996131,1424
1640996132,1424
1640996133,1424
1640996134,1424
1640996135,1426
1640996136,1426
1640996137,1426
1640996138,1426
1640996139,1426
1640996140,1440
1640996141,1440
1640996142,1440
1640996143,1440
1640996144,1440
1640996145,1433
1640996146,1433
1640996147,1433
1640996148,1433
1640996149,1433
1640996150,362
1640996151,362
1640996152,362
1640996153,362
1640996154,362
1640996155,361
1640996156,361
1640996157,361
1640996158,361
1640996159,361
1640996160,358
1640996161,358
1640996162,358
1640996163,358
1640996164,358
1640996165,356
1640996166,356
1640996167,356
1640996168,356
1640996169,356
1640996170,437
1640996171,437
1640996172,437
1640996173,437
1640996174,437
1640996175,1521
1640996176,1521
1640996177,1521
1640996178,1521
1640996179,1521
1640996180,1779
1640996181,1779
1640996182,1779
1640996183,1779
1640996184,1779
1640996185,1772
1640996186,1772
1640996187,1772
1640996188,1772
1640996189,1772
1640996190,1775
1640996191,1775
1640996192,1775
1640996193,1775
1640996194,1775
1640996195,1768
1640996196,1768
1640996197,1768
1640996198,1768
1640996199,1768
1640996200,1650
1640996201,1650
1640996202,1650
1640996203,1650
1640996204,1650
1640996205,3195
1640996206,3195
1640996207,3195
1640996208,3195
1640996209,3195
1640996210,3903
1640996211,3903
1640996212,3903
1640996213,3903
1640996214,3903
1640996215,3910
1640996216,3910
1640996217,3910
1640996218,3910
1640996219,3910
1640996220,3904
1640996221,3904
1640996222,3904
1640996223,3904
1640996224,3904
1640996225,3906
1640996226,3906
1640996227,3906
1640996228,3906
1640996229,3906
1640996230,3903
1640996231,3903
1640996232,3903
1640996233,3903
1640996234,3903
1640996235,3898
1640996236,3898
1640996237,3898
1640996238,3898
1640996239,3898
1640996240,3900
1640996241,3900
1640996242,3900
1640996243,3900
1640996244,3900
1640996245,3900
1640996246,3900
1640996247,3900
1640996248,3900
1640996249,3900
1640996250,3249
1640996251,3249
1640996252,3249
1640996253,3249
1640996254,3249
1640996255,2487
1640996256,2487
1640996257,2487
1640996258,2487
1640996259,2487
1640996260,2488
1640996261,2488
1640996262,2488
1640996263,2488
1640996264,2488
1640996265,2479
1640996266,2479
1640996267,2479
1640996268,2479
1640996269,2479
1640996270,2478
1640996271,2478
1640996272,2478
1640996273,2478
1640996274,2478
1640996275,2476
1640996276,2476
1640996277,2476
1640996278,2476
1640996279,2476
1640996280,2478
1640996281,2478
1640996282,2478
1640996283,2478
1640996284,2478
1640996285,2482
1640996286,2482
1640996287,2482
1640996288,2482
1640996289,2482
1640996290,2478
1640996291,2478
1640996292,2478
1640996293,2478
1640996294,2478
1640996295,2475
1640996296,2475
1640996297,2475
1640996298,2475
1640996299,2475
1640996300,2475
1640996301,2475
1640996302,2475
1640996303,2475
1640996304,2475
1640996305,2473
1640996306,2473
1640996307,2473
1640996308,2473
1640996309,2473
1640996310,2475
1640996311,2475
1640996312,2475
1640996313,2475
1640996314,2475
1640996315,2474
1640996316,2474
1640996317,2474
1640996318,2474
1640996319,2474
1640996320,2474
1640996321,2474
1640996322,2474
1640996323,2474
1640996324,2474
1640996325,2476
1640996326,2476
1640996327,2476
1640996328,2476
1640996329,2476
1640996330,2477
1640996331,2477
1640996332,2477
1640996333,2477
1640996334,2477
1640996335,2482
1640996336,2482
1640996337,2482
1640996338,2482
1640996339,2482
1640996340,2485
1640996341,2485
1640996342,2485
1640996343,2485
1640996344,2485
1640996345,2485
1640996346,2485
1640996347,2485
1640996348,2485
1640996349,2485
1640996350,2486
1640996351,2486
1640996352,2486
1640996353,2486
1640996354,2486
1640996355,2488
1640996356,2488
1640996357,2488
1640996358,2488
1640996359,2488
1640996360,2490
1640996361,2490
1640996362,2490
1640996363,2490
1640996364,2490
1640996365,2474
1640996366,2474
1640996367,2474
1640996368,2474
1640996369,2474
1640996370,1729
1640996371,1729
1640996372,1729
1640996373,1729
1640996374,1729
1640996375,1728
1640996376,1728
1640996377,1728
1640996378,1728
1640996379,1728
1640996380,1728
1640996381,1728
1640996382,1728
1640996383,1728
1640996384,1728
1640996385,1728
1640996386,1728
1640996387,1728
1640996388,1728
1640996389,1728
1640996390,1765
1640996391,1765
1640996392,1765
1640996393,1765
1640996394,1765
1640996395,2628
1640996396,2628
1640996397,2628
