,power
timestamp,active
1640995796,0.1546
1640995797,0.1546
1640995798,0.1546
1640995799,0.1546
1640995800,0.1499
1640995801,0.1499
1640995802,0.1499
1640995803,0.1499
1640995804,0.1499
1640995805,0.0000
1640995806,0.0000
1640995807,0.0000
1640995808,0.0000
1640995809,0.0000
1640995810,0.0723
1640995811,0.0723
1640995812,0.0723
1640995813,0.0723
1640995814,0.0723
1640995815,0.1529
1640995816,0.1529
1640995817,0.1529
1640995818,0.1529
1640995819,0.1529
1640995820,0.1484
1640995821,0.1484
1640995822,0.1484
1640995823,0.1484
1640995824,0.1484
1640995825,0.1553
1640995826,0.1553
1640995827,0.1553
1640995828,0.1553
1640995829,0.1553
1640995830,0.1516
1640995831,0.1516
1640995832,0.1516
1640995833,0.1516
1640995834,0.1516
1640995835,0.1506
1640995836,0.1506
1640995837,0.1506
1640995838,0.1506
1640995839,0.1506
1640995840,0.1466
1640995841,0.1466
1640995842,0.1466
1640995843,0.1466
1640995844,0.1466
1640995845,0.1473
1640995846,0.1473
1640995847,0.1473
1640995848,0.1473
1640995849,0.1473
1640995850,0.1464
1640995851,0.1464
1640995852,0.1464
1640995853,0.1464
1640995854,0.1464
1640995855,0.1569
1640995856,0.1569
1640995857,0.1569
1640995858,0.1569
1640995859,0.1569
1640995860,0.1512
1640995861,0.1512
1640995862,0.1512
1640995863,0.1512
1640995864,0.1512
1640995865,0.1506
1640995866,0.1506
1640995867,0.1506
1640995868,0.1506
1640995869,0.1506
1640995870,0.1433
1640995871,0.1433
1640995872,0.1433
1640995873,0.1433
1640995874,0.1433
1640995875,0.1418
1640995876,0.1418
1640995877,0.1418
1640995878,0.1418
1640995879,0.1418
1640995880,0.1419
1640995881,0.1419
1640995882,0.1419
1640995883,0.1419
1640995884,0.1419
1640995885,0.1418
1640995886,0.1418
1640995887,0.1418
1640995888,0.1418
1640995889,0.1418
1640995890,0.1422
1640995891,0.1422
1640995892,0.1422
1640995893,0.1422
1640995894,0.1422
1640995895,0.1420
1640995896,0.1420
1640995897,0.1420
1640995898,0.1420
1640995899,0.1420
1640995900,0.1414
1640995901,0.1414
1640995902,0.1414
1640995903,0.1414
1640995904,0.1414
1640995905,0.0185
1640995906,0.0185
1640995907,0.0185
1640995908,0.0185
1640995909,0.0185
1640995910,0.0185
1640995911,0.0185
1640995912,0.0185
1640995913,0.0185
1640995914,0.0185
1640995915,0.1227
1640995916,0.1227
1640995917,0.1227
1640995918,0.1227
1640995919,0.1227
1640995920,0.1418
1640995921,0.1418
1640995922,0.1418
1640995923,0.1418
1640995924,0.1418
1640995925,0.1418
1640995926,0.1418
1640995927,0.1418
1640995928,0.1418
1640995929,0.1418
1640995930,0.1468
1640995931,0.1468
1640995932,0.1468
1640995933,0.1468
1640995934,0.1468
1640995935,0.0695
1640995936,0.0695
1640995937,0.0695
1640995938,0.0695
1640995939,0.0695
1640995940,0.1427
1640995941,0.1427
1640995942,0.1427
1640995943,0.1427
1640995944,0.1427
1640995945,0.1414
1640995946,0.1414
1640995947,0.1414
1640995948,0.1414
1640995949,0.1414
1640995950,0.1457
1640995951,0.1457
1640995952,0.1457
1640995953,0.1457
1640995954,0.1457
1640995955,0.1438
1640995956,0.1438
1640995957,0.1438
1640995958,0.1438
1640995959,0.1438
1640995960,0.1442
1640995961,0.1442
1640995962,0.1442
1640995963,0.1442
1640995964,0.1442
1640995965,0.1504
1640995966,0.1504
1640995967,0.1504
1640995968,0.1504
1640995969,0.1504
1640995970,0.1517
1640995971,0.1517
1640995972,0.1517
1640995973,0.1517
1640995974,0.1517
1640995975,0.1609
1640995976,0.1609
1640995977,0.1609
1640995978,0.1609
1640995979,0.1609
1640995980,0.1477
1640995981,0.1477
1640995982,0.1477
1640995983,0.1477
1640995984,0.1477
1640995985,0.1479
1640995986,0.1479
1640995987,0.1479
1640995988,0.1479
1640995989,0.1479
1640995990,0.1491
1640995991,0.1491
1640995992,0.1491
1640995993,0.1491
1640995994,0.1491
1640995995,0.1426
1640995996,0.1426
1640995997,0.1426
1640995998,0.1426
1640995999,0.1426
1640996000,0.1422
1640996001,0.1422
1640996002,0.1422
1640996003,0.1422
1640996004,0.1422
