Time Bucket (America/Chicago),Load Disaggregation 1_1 (kWatts)
11/16/2022 14:43:21,1.4140
11/16/2022 14:43:22,1.4134
11/16/2022 14:43:23,1.4134
11/16/2022 14:43:24,1.4134
11/16/2022 14:43:25,1.4134
11/16/2022 14:43:26,1.4134
11/16/2022 14:43:27,1.4138
11/16/2022 14:43:28,1.4138
11/16/2022 14:43:29,1.4138
11/16/2022 14:43:30,1.4138
11/16/2022 14:43:31,1.4138
11/16/2022 14:43:32,1.4145
11/16/2022 14:43:33,1.4145
11/16/2022 14:43:34,1.4145
11/16/2022 14:43:35,1.4145
11/16/2022 14:43:36,1.4145
11/16/2022 14:43:37,1.3749
11/16/2022 14:43:38,1.3749
11/16/2022 14:43:39,1.3749
11/16/2022 14:43:40,1.3749
11/16/2022 14:43:41,1.3749
11/16/2022 14:43:42,0.0000
11/16/2022 14:43:43,0.0000
11/16/2022 14:43:44,0.0000
11/16/2022 14:43:45,0.0000
11/16/2022 14:43:46,0.0000
11/16/2022 14:43:47,0.0000
11/16/2022 14:43:48,0.0000
11/16/2022 14:43:49,0.0000
11/16/2022 14:43:50,0.0000
11/16/2022 14:43:51,0.0000
11/16/2022 14:43:52,0.0000
11/16/2022 14:43:53,0.0000
11/16/2022 14:43:54,0.0000
11/16/2022 14:43:55,0.0000
11/16/2022 14:43:56,0.0000
11/16/2022 14:43:57,0.0000
11/16/2022 14:43:58,0.0000
11/16/2022 14:43:59,0.0000
11/16/2022 14:44:00,0.0000
11/16/2022 14:44:01,0.0000
11/16/2022 14:44:02,0.0000
11/16/2022 14:44:03,0.0000
11/16/2022 14:44:04,0.0000
11/16/2022 14:44:05,0.0000
11/16/2022 14:44:06,0.0000
11/16/2022 14:44:07,0.0000
11/16/2022 14:44:08,0.0000
11/16/2022 14:44:09,0.0000
11/16/2022 14:44:10,0.0000
11/16/2022 14:44:11,0.0000
11/16/2022 14:44:12,0.0000
11/16/2022 14:44:13,0.0000
11/16/2022 14:44:14,0.0000
11/16/2022 14:44:15,0.0000
11/16/2022 14:44:16,0.0000
11/16/2022 14:44:17,0.0000
11/16/2022 14:44:18,0.0000
